info1,info2,info_draft,info_team,name,sc_price
"
Age: 22yr 10mth    Games: 9     Born: April 16, 1996    
","
Height: 186cm    
Weight: 79kg    
Position:
            Forward
      ","
Last Drafted: Round 2, Pick #37 ",,James Rose,"
Supercoach Price: $165,000
  "
"
Age: 21yr 2mth    Games: 18     Born: December 18, 1997    
","
Height: 182cm    
Weight: 77kg    
Position:
            Forward
      ","
Last Drafted: Round 1, Pick #17 ",,Ben Ronke,"
Supercoach Price: $350,600
  "
"
Age: 27yr 8mth    Games: 106     Born: June 7, 1991    
","
Height: 189cm    
Weight: 92kg    
Position:
            Forward
      ","
Last Drafted: Round 1, Pick #6 ",,Gary Rohan,"
Supercoach Price: $261,600
  "
"
Age: 29yr     Games: 172     Born: February 22, 1990    
","
Height: 185cm    
Weight: 83kg    
Position:
            Midfield
      ","
Last Drafted: Round 1, Pick #5 ",,Tom Rockliff,"
Supercoach Price: $405,900
  "
"
Age: 29yr 8mth    Games: 168     Born: June 7, 1989    
","
Height: 184cm    
Weight: 90kg    
Position:
            Midfield,
                Forward
      ","
Last Drafted: Round 3, Pick #40 ",,Mitch Robinson,"
Supercoach Price: $496,600
  "
"
Age: 23yr 9mth    Games: 68     Born: June 3, 1995    
","
Height: 191cm    
Weight: 98kg    
Position:
            Defender
      ","
Last Drafted: Round 2, Pick #34 ",,Nicholas Robertson,"
Supercoach Price: $347,400
  "
"
Age: 25yr 9mth    Games: 49     Born: June 3, 1993    
","
Height: 196cm    
Weight: 92kg    
Position:
            Defender
      ","
Last Drafted: Round 1, Pick #11 ",,Fletcher Roberts,"
Supercoach Price: $195,400
  "
"
Age: 27yr 8mth    Games: 128     Born: June 21, 1991    
","
Height: 194cm    
Weight: 91kg    
Position:
            Defender
      ","
Last Drafted: Round 3, Pick #49 ",,Dylan Roberton,"
Supercoach Price: $297,500
  "
"
Age: 33yr 1mth    Games: 236     Born: January 8, 1986    
","
Height: 185cm    
Weight: 84kg    
Position:
            Defender
      ","
Last Drafted: Round 1, Pick #2 ",,Michael Rischitelli,"
Supercoach Price: $259,800
  "
"
Age: 23yr 8mth    Games: 24     Born: June 4, 1995    
","
Height: 175cm    
Weight: 80kg    
Position:
            Forward
      ","
Last Drafted: Round 3, Pick #52 ",,Willie Rioli,"
Supercoach Price: $318,700
  "
"
Age: 21yr 10mth    Games: 55     Born: April 16, 1997    
","
Height: 179cm    
Weight: 76kg    
Position:
            Forward
      ","
Last Drafted: Round 1, Pick #15 ",,Daniel Rioli,"
Supercoach Price: $324,600
  "
"
Age: 30yr 4mth    Games: 249     Born: October 31, 1988    
","
Height: 193cm    
Weight: 92kg    
Position:
            Forward
      ","
Last Drafted: Round 1, Pick #13 ",,Jack Riewoldt,"
Supercoach Price: $504,100
  "
"
Age: 20yr 4mth    Games: 3     Born: October 20, 1998    
","
Height: 192cm    
Weight: 84kg    
Position:
            Defender
      ","
Last Drafted: Round 2, Pick #22 ",,Jordan Ridley,"
Supercoach Price: $233,100
  "
"
Age: 19yr 8mth    Games: 21     Born: July 3, 1999    
","
Height: 185cm    
Weight: 79kg    
Position:
            Defender
      ","
Last Drafted: Round 1, Pick #16 ",,Ed Richards,"
Supercoach Price: $319,500
  "
"
Age: 28yr 8mth    Games: 183     Born: June 7, 1990    
","
Height: 185cm    
Weight: 88kg    
Position:
            Defender
      ","
Last Drafted: Round 1, Pick #7 ",,Daniel Rich,"
Supercoach Price: $428,200
  "
"
Age: 22yr     Games: 11     Born: February 10, 1997    
","
Height: 184cm    
Weight: 88kg    
Position:
            Defender
      ","
Last Drafted: Round 3, Pick #49 ",,Bailey Rice,"
Supercoach Price: $297,600
  "
"
Age: 20yr 9mth    Games: 0     Born: May 31, 1998    
","
Position:
            Midfield,
                Forward
      ",,,Brodie Riach,"
Supercoach Price: $102,400
  "
"
Age: 18yr 4mth    Games: 0     Born: October 11, 2000    
","
Height: 190cm    
Weight: 75kg    
Position:
            Defender
      ","
Last Drafted: Round 2, Pick #28 ",,Harry Reynolds,"
Supercoach Price: $102,400
  "
"
Age: 29yr 3mth    Games: 64     Born: November 7, 1989    
","
Height: 188cm    
Weight: 85kg    
Position:
            Defender,
                Forward
      ","
Last Drafted: Round 2, Pick #29 ",,Samuel Reid,"
Supercoach Price: $271,700
  "
"
Age: 27yr 2mth    Games: 121     Born: December 27, 1991    
","
Height: 196cm    
Weight: 99kg    
Position:
            Forward
      ","
Last Drafted: Round 3, Pick #38 ",,Sam Reid,"
Supercoach Price: $395,200
  "
"
Age: 29yr 10mth    Games: 142     Born: April 29, 1989    
","
Height: 196cm    
Weight: 98kg    
Position:
            Forward
      ","
Last Drafted: Round 1, Pick #8 ",,Ben Reid,"
Supercoach Price: $299,700
  "
"
Age: 21yr 6mth    Games: 5     Born: August 26, 1997    
","
Height: 187cm    
Weight: 87kg    
Position:
            Defender
      ","
Last Drafted: Round 2, Pick #30 ",,Mason Redman,"
Supercoach Price: $309,700
  "
"
Age: 28yr 2mth    Games: 188     Born: December 9, 1990    
","
Height: 190cm    
Weight: 85kg    
Position:
            Midfield
      ","
Last Drafted: Round 2, Pick #25 ",,Jack Redden,"
Supercoach Price: $517,400
  "
"
Age: 19yr 4mth    Games: 22     Born: October 21, 1999    
","
Height: 187cm    
Weight: 87kg    
Position:
            Forward
      ","
Last Drafted: Round 1, Pick #1 ",,Cameron Rayner,"
Supercoach Price: $327,700
  "
"
Age: 20yr 7mth    Games: 8     Born: July 24, 1998    
","
Height: 197cm    
Weight: 102kg    
Position:
            Forward
      ","
Last Drafted: Round 3, Pick #43 ",,Esava Ratugolea,"
Supercoach Price: $295,200
  "
"
Age: 18yr 10mth    Games: 0     Born: April 23, 2000    
","
Height: 180cm    
Weight: 80kg    
Position:
            Forward
      ","
Last Drafted: Round 1, Pick #3 ",,Izak Rankine,"
Supercoach Price: $198,300
  "
"
Age: 29yr 4mth    Games: 199     Born: October 9, 1989    
","
Height: 194cm    
Weight: 95kg    
Position:
            Defender
      ","
Last Drafted: Priority Pick #18 ",,Alex Rance,"
Supercoach Price: $448,100
  "
"
Age: 28yr 9mth    Games: 138     Born: June 2, 1990    
","
Height: 189cm    
Weight: 86kg    
Position:
            Defender
      ","
Last Drafted: Round 6, Pick #90 ",,Dane Rampe,"
Supercoach Price: $422,400
  "
"
Age: 19yr 1mth    Games: 0     Born: January 15, 2000    
","
Height: 180cm    
Weight: 83kg    
Position:
            Defender
      ","
Last Drafted: Round 1, Pick #13 ",,Isaac Quaynor,"
Supercoach Price: $153,300
  "
"
Age: 31yr 3mth    Games: 168     Born: December 2, 1987    
","
Height: 173cm    
Weight: 78kg    
Position:
            Forward
      ","
Last Drafted: Round 4, Pick #66 ",,Paul Puopolo,"
Supercoach Price: $359,500
  "
"
Age: 19yr 1mth    Games: 0     Born: January 9, 2000    
","
Height: 186cm    
Weight: 78kg    
Position:
            Midfield
      ",,,Kai Pudney,"
Supercoach Price: $102,400
  "
"
Age: 23yr 8mth    Games: 8     Born: June 16, 1995    
","
Height: 206cm    
Weight: 109kg    
Position:
            Ruck
      ","
Last Drafted: Round 1, Pick #15 ",,Braydon Preuss,"
Supercoach Price: $239,900
  "
"
Age: 26yr 4mth    Games: 130     Born: October 12, 1992    
","
Height: 175cm    
Weight: 82kg    
Position:
            Midfield
      ","
Last Drafted: Round 1, Pick #9 ",,Dion Prestia,"
Supercoach Price: $482,600
  "
"
Age: 21yr 1mth    Games: 38     Born: January 8, 1998    
","
Height: 188cm    
Weight: 96kg    
Position:
            Midfield
      ","
Last Drafted: Round 1, Pick #18 ",,Sam Powell-Pepper,"
Supercoach Price: $425,800
  "
"
Age: 19yr 6mth    Games: 7     Born: August 26, 1999    
","
Height: 185cm    
Weight: 70kg    
Position:
            Forward
      ","
Last Drafted: Round 1, Pick #19 ",,Wil Powell,"
Supercoach Price: $211,500
  "
"
Age: 20yr     Games: 0     Born: February 22, 1999    
","
Height: 182cm    
Weight: 76kg    
Position:
            Midfield
      ","
Last Drafted: Round 5, Pick #74 ",,Callum Porter,"
Supercoach Price: $123,900
  "
"
Age: 20yr 11mth    Games: 13     Born: March 11, 1998    
","
Height: 177cm    
Weight: 76kg    
Position:
            Forward
      ","
Last Drafted: Round 4, Pick #59 ",,Cameron Polson,"
Supercoach Price: $191,800
  "
"
Age: 26yr 4mth    Games: 106     Born: October 12, 1992    
","
Height: 187cm    
Weight: 84kg    
Position:
            Midfield
      ","
Last Drafted: Round 1, Pick #5 ",,Jared Polec,"
Supercoach Price: $513,500
  "
"
Age: 20yr 7mth    Games: 9     Born: July 10, 1998    
","
Height: 186cm    
Weight: 86kg    
Position:
            Forward
      ","
Last Drafted: Round 3, Pick #44 ",,Myles Poholke,"
Supercoach Price: $234,600
  "
"
Age: 24yr 5mth    Games: 73     Born: September 11, 1994    
","
Height: 191cm    
Weight: 90kg    
Position:
            Defender
      ","
Last Drafted: Round 1, Pick #3 ",,Lachlan Plowman,"
Supercoach Price: $345,800
  "
"
Age: 22yr 9mth    Games: 5     Born: June 3, 1996    
","
Height: 202cm    
Weight: 105kg    
Position:
            Ruck
      ","
Last Drafted: Round 3, Pick #50 ",,Marc Pittonet,"
Supercoach Price: $234,500
  "
"
Age: 27yr 11mth    Games: 126     Born: April 1, 1991    
","
Height: 186cm    
Weight: 84kg    
Position:
            Defender
      ","
Last Drafted: Round 1, Pick #16 ",,Jasper Pittard,"
Supercoach Price: $365,700
  "
"
Age: 20yr 6mth    Games: 0     Born: August 11, 1998    
","
Height: 194cm    
Weight: 92kg    
Position:
            Forward
      ","
Last Drafted: Round 3, Pick #54 ",,Toby Pink,"
Supercoach Price: $123,900
  "
"
Age: 24yr 3mth    Games: 4     Born: November 16, 1994    
","
Height: 203cm    
Weight: 104kg    
Position:
            Ruck
      ","
Last Drafted: Round 2, Pick #24 ",,Lewis Pierce,"
Supercoach Price: $235,600
  "
"
Age: 22yr 6mth    Games: 17     Born: August 18, 1996    
","
Height: 178cm    
Weight: 77kg    
Position:
            Forward
      ","
Last Drafted: Round 1, Pick #4 ",,Jarrod Pickett,"
Supercoach Price: $190,500
  "
"
Age: 32yr 7mth    Games: 198     Born: August 1, 1986    
","
Height: 184cm    
Weight: 81kg    
Position:
            Forward
      ","
Last Drafted: Round 6, Pick #86 ",,Liam Picken,"
Supercoach Price: $285,500
  "
"
Age: 22yr 9mth    Games: 50     Born: May 7, 1996    
","
Height: 187cm    
Weight: 79kg    
Position:
            Midfield
      ","
Last Drafted: Round 4, Pick #58 ",,Tom Phillips,"
Supercoach Price: $489,100
  "
"
Age: 20yr 11mth    Games: 7     Born: March 29, 1998    
","
Height: 187cm    
Weight: 80kg    
Position:
            Midfield
      ","
Last Drafted: Round 4, Pick #56 ",,Edward Phillips,"
Supercoach Price: $294,500
  "
"
Age: 27yr 8mth    Games: 36     Born: July 3, 1991    
","
Height: 203cm    
Weight: 99kg    
Position:
            Ruck
      ","
Last Drafted: Round 6, Pick #97 ",,Andrew Phillips,"
Supercoach Price: $278,800
  "
"
Age: 19yr 3mth    Games: 1     Born: November 12, 1999    
","
Height: 197cm    
Weight: 83kg    
Position:
            Defender
      ","
Last Drafted: Round 2, Pick #37 ",,Harrison Petty,"
Supercoach Price: $160,700
  "
"
Age: 19yr 10mth    Games: 3     Born: April 12, 1999    
","
Height: 185cm    
Weight: 80kg    
Position:
            Forward
      ","
Last Drafted: Round 2, Pick #38 ",,Jack Petruccelle,"
Supercoach Price: $123,900
  "
"
Age: 21yr     Games: 42     Born: February 19, 1998    
","
Height: 180cm    
Weight: 74kg    
Position:
            Forward
      ","
Last Drafted: Round 1, Pick #6 ",,Sam Petrevski-Seton,"
Supercoach Price: $364,900
  "
"
Age: 23yr 1mth    Games: 63     Born: January 4, 1996    
","
Height: 186cm    
Weight: 96kg    
Position:
            Midfield,
                Forward
      ","
Last Drafted: Round 1, Pick #2 ",,Christian Petracca,"
Supercoach Price: $442,600
  "
"
Age: 20yr 2mth    Games: 17     Born: December 19, 1998    
","
Height: 184cm    
Weight: 80kg    
Position:
            Defender
      ","
Last Drafted: Round 1, Pick #14 ",,Harry Perryman,"
Supercoach Price: $314,200
  "
"
Age: 31yr 1mth    Games: 277     Born: January 7, 1988    
","
Height: 191cm    
Weight: 91kg    
Position:
            Midfield
      ","
Last Drafted: Round 1, Pick #5 ",,Scott Pendlebury,"
Supercoach Price: $562,000
  "
"
Age: 23yr 8mth    Games: 42     Born: June 9, 1995    
","
Height: 200cm    
Weight: 98kg    
Position:
            Defender
      ","
Last Drafted: Round 2, Pick #37 ",,Alex Pearce,"
Supercoach Price: $273,500
  "
"
Age: 19yr 4mth    Games: 0     Born: October 15, 1999    
","
Height: 197cm    
Weight: 95kg    
Position:
            Defender
      ","
Last Drafted: Round 3, Pick #54 ",,Jack Payne,"
Supercoach Price: $123,900
  "
"
Age: 25yr 9mth    Games: 89     Born: May 20, 1993    
","
Height: 198cm    
Weight: 101kg    
Position:
            Forward,
                Ruck
      ","
Last Drafted: Round 1, Pick #1 ",,Jonathon Patton,"
Supercoach Price: $421,200
  "
"
Age: 20yr 4mth    Games: 3     Born: October 19, 1998    
","
Height: 186cm    
Weight: 77kg    
Position:
            Defender
      ","
Last Drafted: Round 3, Pick #46 ",,Ben Paton,"
Supercoach Price: $237,400
  "
"
Age: 20yr 1mth    Games: 0     Born: January 29, 1999    
","
Height: 181cm    
Weight: 72kg    
Position:
            Midfield,
                Forward
      ","
Last Drafted: Round 4, Pick #58 ",,Jake Patmore,"
Supercoach Price: $123,900
  "
"
Age: 21yr 10mth    Games: 31     Born: April 12, 1997    
","
Height: 190cm    
Weight: 82kg    
Position:
            Forward
      ","
Last Drafted: Round 2, Pick #27 ",,James Parsons,"
Supercoach Price: $291,200
  "
"
Age: 23yr 1mth    Games: 0     Born: January 25, 1996    
","
Height: 190cm    
Weight: 76kg    
Position:
            Forward
      ","
Last Drafted: Round 3, Pick #47 ",,Matthew Parker,"
Supercoach Price: $117,300
  "
"
Age: 26yr 4mth    Games: 173     Born: October 25, 1992    
","
Height: 183cm    
Weight: 88kg    
Position:
            Midfield
      ","
Last Drafted: Round 2, Pick #40 ",,Luke Parker,"
Supercoach Price: $561,700
  "
"
Age: 21yr 7mth    Games: 55     Born: July 25, 1997    
","
Height: 180cm    
Weight: 80kg    
Position:
            Midfield,
                Forward
      ","
Last Drafted: Round 1, Pick #5 ",,Darcy Parish,"
Supercoach Price: $436,100
  "
"
Age: 20yr 10mth    Games: 34     Born: April 27, 1998    
","
Height: 180cm    
Weight: 79kg    
Position:
            Forward
      ","
Last Drafted: Round 2, Pick #26 ",,Brandan Parfitt,"
Supercoach Price: $434,300
  "
"
Age: 22yr 7mth    Games: 60     Born: July 13, 1996    
","
Height: 177cm    
Weight: 77kg    
Position:
            Forward
      ","
Last Drafted: Round 1, Pick #14 ",,Tom Papley,"
Supercoach Price: $383,400
  "
"
Age: 21yr 11mth    Games: 0     Born: March 19, 1997    
","
Height: 183cm    
Weight: 82kg    
Position:
            Midfield,
                Forward
      ",,,Matt Owies,"
Supercoach Price: $102,400
  "
"
Age: 29yr 9mth    Games: 106     Born: May 15, 1989    
","
Height: 192cm    
Weight: 94kg    
Position:
            Defender
      ","
Last Drafted: Round 2, Pick #27 ",,Andy Otten,"
Supercoach Price: $375,200
  "
"
Age: 23yr 4mth    Games: 3     Born: October 12, 1995    
","
Height: 185cm    
Weight: 83kg    
Position:
            Defender
      ","
Last Drafted: Round 6, Pick #69 ",,Colin O'Riordan,"
Supercoach Price: $250,800
  "
"
Age: 18yr 7mth    Games: 0     Born: August 3, 2000    
","
Height: 185cm    
Weight: 82kg    
Position:
            Midfield
      ","
Last Drafted: Round 2, Pick #28 ",,Xavier O'Neill,"
Supercoach Price: $117,300
  "
"
Age: 25yr     Games: 71     Born: February 23, 1994    
","
Height: 183cm    
Weight: 83kg    
Position:
            Midfield
      ","
Last Drafted: Round 1, Pick #1 ",,Jaeger O'Meara,"
Supercoach Price: $503,200
  "
"
Age: 21yr 7mth    Games: 60     Born: July 22, 1997    
","
Height: 187cm    
Weight: 83kg    
Position:
            Midfield
      ","
Last Drafted: Round 1, Pick #4 ",,Clayton Oliver,"
Supercoach Price: $622,600
  "
"
Age: 20yr 6mth    Games: 0     Born: August 12, 1998    
","
Height: 190cm    
Weight: 87kg    
Position:
            Defender,
                Forward
      ",,,Stefan Okunbor,"
Supercoach Price: $102,400
  "
"
Age: 18yr 7mth    Games: 0     Born: July 11, 2000    
","
Height: 186cm    
Weight: 84kg    
Position:
            Midfield
      ","
Last Drafted: Round 1, Pick #22 ",,Xavier O'Halloran,"
Supercoach Price: $117,300
  "
"
Age: 18yr 4mth    Games: 0     Born: October 11, 2000    
","
Height: 185cm    
Weight: 80kg    
Position:
            Midfield
      ",,,Red Og Murphy,"
Supercoach Price: $102,400
  "
"
Age: 18yr 7mth    Games: 0     Born: July 24, 2000    
","
Height: 191cm    
Weight: 75kg    
Position:
            Forward
      ","
Last Drafted: Round 4, Pick #66 ",,Finbar O'Dwyer,"
Supercoach Price: $117,300
  "
"
Age: 22yr 1mth    Games: 7     Born: January 17, 1997    
","
Height: 191cm    
Weight: 87kg    
Position:
            Defender
      ",,,Mark O'Connor,"
Supercoach Price: $246,500
  "
"
Age: 24yr 11mth    Games: 46     Born: March 28, 1994    
","
Height: 193cm    
Weight: 88kg    
Position:
            Forward
      ","
Last Drafted: Round 2, Pick #28 ",,Tim O'Brien,"
Supercoach Price: $275,500
  "
"
Age: 23yr 6mth    Games: 2     Born: August 20, 1995    
","
Height: 202cm    
Weight: 101kg    
Position:
            Ruck
      ","
Last Drafted: Round 1, Pick #9 ",,Reilly O'Brien,"
Supercoach Price: $136,800
  "
"
Age: 19yr 5mth    Games: 18     Born: September 18, 1999    
","
Height: 184cm    
Weight: 78kg    
Position:
            Midfield
      ","
Last Drafted: Round 1, Pick #10 ",,Lochie O'Brien,"
Supercoach Price: $256,900
  "
"
Age: 22yr 5mth    Games: 12     Born: September 6, 1996    
","
Height: 190cm    
Weight: 89kg    
Position:
            Defender
      ","
Last Drafted: Round 3, Pick #37 ",,Ryan Nyhuis,"
Supercoach Price: $284,300
  "
"
Age: 19yr 4mth    Games: 0     Born: October 9, 1999    
","
Height: 187cm    
Weight: 79kg    
Position:
            Defender,
                Forward
      ","
Last Drafted: Round 3, Pick #55 ",,Connor Nutting,"
Supercoach Price: $123,900
  "
"
Age: 20yr     Games: 0     Born: February 14, 1999    
","
Height: 184cm    
Weight: 84kg    
Position:
            Midfield
      ","
Last Drafted: Round 4, Pick #65 ",,Tom North,"
Supercoach Price: $123,900
  "
"
Age: 18yr 9mth    Games: 0     Born: May 26, 2000    
","
Height: 184cm    
Weight: 80kg    
Position:
            Midfield
      ","
Last Drafted: Round 3, Pick #53 ",,Aaron Nietschke,"
Supercoach Price: $117,300
  "
"
Age: 26yr 11mth    Games: 45     Born: March 4, 1992    
","
Height: 203cm    
Weight: 103kg    
Position:
            Ruck
      ",,,Tom Nicholls,"
Supercoach Price: $224,000
  "
"
Age: 26yr     Games: 135     Born: February 24, 1993    
","
Height: 184cm    
Weight: 86kg    
Position:
            Midfield,
                Forward
      ","
Last Drafted: Round 2, Pick #37 ",,Jack Newnes,"
Supercoach Price: $356,100
  "
"
Age: 26yr 1mth    Games: 31     Born: January 15, 1993    
","
Height: 186cm    
Weight: 84kg    
Position:
            Defender
      ","
Last Drafted: Round 2, Pick #35 ",,Nic Newman,"
Supercoach Price: $394,100
  "
"
Age: 22yr 11mth    Games: 42     Born: March 15, 1996    
","
Height: 187cm    
Weight: 84kg    
Position:
            Defender
      ","
Last Drafted: Round 3, Pick #51 ",,Jackson Nelson,"
Supercoach Price: $241,000
  "
"
Age: 25yr 9mth    Games: 135     Born: May 24, 1993    
","
Height: 177cm    
Weight: 82kg    
Position:
            Midfield
      ","
Last Drafted: Round 3, Pick #58 ",,Lachie Neale,"
Supercoach Price: $607,300
  "
"
Age: 23yr 1mth    Games: 59     Born: January 9, 1996    
","
Height: 182cm    
Weight: 80kg    
Position:
            Forward
      ","
Last Drafted: Round 2, Pick #40 ",,Alex Neal-Bullen,"
Supercoach Price: $402,500
  "
"
Age: 19yr 3mth    Games: 18     Born: November 30, 1999    
","
Height: 195cm    
Weight: 89kg    
Position:
            Defender
      ","
Last Drafted: Round 1, Pick #9 ",,Aaron Naughton,"
Supercoach Price: $310,900
  "
"
Age: 20yr 7mth    Games: 5     Born: July 28, 1998    
","
Height: 197cm    
Weight: 93kg    
Position:
            Forward
      ",,,Conor Nash,"
Supercoach Price: $262,200
  "
"
Age: 21yr 3mth    Games: 6     Born: December 3, 1997    
","
Height: 181cm    
Weight: 80kg    
Position:
            Forward
      ","
Last Drafted: Round 4, Pick #60 ",,Quinton Narkle,"
Supercoach Price: $241,000
  "
"
Age: 24yr 6mth    Games: 59     Born: August 12, 1994    
","
Height: 199cm    
Weight: 102kg    
Position:
            Ruck
      ","
Last Drafted: Round 2, Pick #35 ",,Toby Nankervis,"
Supercoach Price: $533,000
  "
"
Age: 28yr 9mth    Games: 161     Born: May 4, 1990    
","
Height: 201cm    
Weight: 110kg    
Position:
            Ruck
      ","
Last Drafted: Round 1, Pick #2 ",,Nicholas Naitanui,"
Supercoach Price: $524,400
  "
"
Age: 26yr 7mth    Games: 28     Born: July 16, 1992    
","
Height: 205cm    
Weight: 109kg    
Position:
            Ruck
      ","
Last Drafted: Round 8, Pick #58 ",,Sam Naismith,"
Supercoach Price: $251,400
  "
"
Age: 20yr 1mth    Games: 0     Born: January 15, 1999    
","
Height: 182cm    
Weight: 71kg    
Position:
            Defender
      ","
Last Drafted: Round 2, Pick #34 ",,Patrick Naish,"
Supercoach Price: $123,900
  "
"
Age: 19yr 4mth    Games: 0     Born: October 4, 1999    
","
Height: 185cm    
Weight: 75kg    
Position:
            Midfield
      ","
Last Drafted: Round 1, Pick #11 ",,Trent Mynott,"
Supercoach Price: $123,900
  "
"
Age: 29yr 8mth    Games: 116     Born: June 30, 1989    
","
Height: 191cm    
Weight: 88kg    
Position:
            Midfield
      ","
Last Drafted: Round 1, Pick #6 ",,David Myers,"
Supercoach Price: $418,300
  "
"
Age: 21yr 11mth    Games: 4     Born: March 11, 1997    
","
Height: 185cm    
Weight: 84kg    
Position:
            Defender
      ","
Last Drafted: Round 4, Pick #57 ",,Kurt Mutimer,"
Supercoach Price: $137,600
  "
"
Age: 20yr 11mth    Games: 3     Born: March 18, 1998    
","
Height: 187cm    
Weight: 83kg    
Position:
            Midfield
      ","
Last Drafted: Round 3, Pick #42 ",,Kobe Mutch,"
Supercoach Price: $237,400
  "
"
Age: 21yr 6mth    Games: 13     Born: September 2, 1997    
","
Height: 189cm    
Weight: 88kg    
Position:
            Defender
      ","
Last Drafted: Round 2, Pick #33 ",,Samuel Murray,"
Supercoach Price: $385,000
  "
"
Age: 21yr 1mth    Games: 4     Born: January 19, 1998    
","
Height: 189cm    
Weight: 82kg    
Position:
            Defender
      ","
Last Drafted: Round 1, Pick #4 ",,Thomas Murphy,"
Supercoach Price: $195,400
  "
"
Age: 19yr 2mth    Games: 2     Born: December 15, 1999    
","
Height: 190cm    
Weight: 79kg    
Position:
            Defender
      ","
Last Drafted: Round 3, Pick #39 ",,Nathan Murphy,"
Supercoach Price: $167,200
  "
"
Age: 31yr 7mth    Games: 249     Born: July 19, 1987    
","
Height: 180cm    
Weight: 80kg    
Position:
            Midfield
      ","
Last Drafted: Priority Pick #1 ",,Marc Murphy,"
Supercoach Price: $501,500
  "
"
Age: 20yr 2mth    Games: 11     Born: December 4, 1998    
","
Height: 176cm    
Weight: 76kg    
Position:
            Forward
      ","
Last Drafted: Round 3, Pick #38 ",,Lachlan Murphy,"
Supercoach Price: $267,500
  "
"
Age: 26yr 11mth    Games: 108     Born: March 23, 1992    
","
Height: 190cm    
Weight: 87kg    
Position:
            Midfield
      ","
Last Drafted: Round 2, Pick #48 ",,Jordan Murdoch,"
Supercoach Price: $399,200
  "
"
Age: 33yr 7mth    Games: 294     Born: July 20, 1985    
","
Height: 192cm    
Weight: 91kg    
Position:
            Midfield,
                Forward
      ","
Last Drafted: Round 2, Pick #19 ",,David Mundy,"
Supercoach Price: $520,900
  "
"
Age: 32yr 7mth    Games: 172     Born: July 5, 1986    
","
Height: 197cm    
Weight: 105kg    
Position:
            Ruck
      ","
Last Drafted: Round 4, Pick #57 ",,Shane Mumford,"
Supercoach Price: $320,200
  "
"
Age: 27yr 11mth    Games: 156     Born: March 12, 1991    
","
Height: 183cm    
Weight: 76kg    
Position:
            Midfield,
                Forward
      ","
Last Drafted: Round 3, Pick #39 ",,Steven Motlop,"
Supercoach Price: $383,900
  "
"
Age: 18yr 6mth    Games: 0     Born: August 24, 2000    
","
Height: 176cm    
Weight: 63kg    
Position:
            Midfield,
                Forward
      ","
Last Drafted: Round 2, Pick #38 ",,Irving Mosquito,"
Supercoach Price: $117,300
  "
"
Age: 20yr 3mth    Games: 22     Born: November 12, 1998    
","
Height: 180cm    
Weight: 76kg    
Position:
            Midfield,
                Forward
      ","
Last Drafted: Round 5, Pick #74 ",,Harry Morrison,"
Supercoach Price: $350,000
  "
"
Age: 36yr 2mth    Games: 252     Born: December 29, 1982    
","
Height: 190cm    
Weight: 91kg    
Position:
            Defender
      ","
Last Drafted: Round 2, Pick #19 ",,Dale Morris,"
Supercoach Price: $287,700
  "
"
Age: 19yr 6mth    Games: 0     Born: August 4, 1999    
","
Height: 176cm    
Weight: 66kg    
Position:
            Forward
      ","
Last Drafted: Round 4, Pick #67 ",,Dylan Moore,"
Supercoach Price: $123,900
  "
"
Age: 23yr 1mth    Games: 54     Born: January 25, 1996    
","
Height: 203cm    
Weight: 102kg    
Position:
            Defender,
                Forward
      ","
Last Drafted: Round 1, Pick #9 ",,Darcy Moore,"
Supercoach Price: $239,400
  "
"
Age: 22yr 6mth    Games: 8     Born: September 3, 1996    
","
Height: 193cm    
Weight: 92kg    
Position:
            Forward
      ","
Last Drafted: Round 1, Pick #12 ",,Callum Moore,"
Supercoach Price: $280,100
  "
"
Age: 30yr 4mth    Games: 48     Born: October 19, 1988    
","
Height: 196cm    
Weight: 100kg    
Position:
            Defender
      ","
Last Drafted: Round 3, Pick #43 ",,Timothy Mohr,"
Supercoach Price: $243,200
  "
"
Age: 25yr 9mth    Games: 111     Born: May 31, 1993    
","
Height: 182cm    
Weight: 84kg    
Position:
            Midfield
      ","
Last Drafted: Round 1, Pick #21 ",,Tom Mitchell,"
Supercoach Price: $700,800
  "
"
Age: 27yr 11mth    Games: 7     Born: March 20, 1991    
","
Height: 186cm    
Weight: 89kg    
Position:
            Defender
      ","
Last Drafted: Round 2, Pick #23 ",,David Mirra,"
Supercoach Price: $339,600
  "
"
Age: 25yr 2mth    Games: 28     Born: December 9, 1993    
","
Height: 179cm    
Weight: 81kg    
Position:
            Midfield
      ","
Last Drafted: Round 4, Pick #65 ",,Darren Minchington,"
Supercoach Price: $190,900
  "
"
Age: 21yr 11mth    Games: 55     Born: April 2, 1997    
","
Height: 188cm    
Weight: 82kg    
Position:
            Defender
      ","
Last Drafted: Round 1, Pick #3 ",,Callum Mills,"
Supercoach Price: $428,900
  "
"
Age: 23yr     Games: 82     Born: February 22, 1996    
","
Height: 178cm    
Weight: 84kg    
Position:
            Midfield
      ","
Last Drafted: Round 2, Pick #29 ",,Touk Miller,"
Supercoach Price: $482,400
  "
"
Age: 19yr 6mth    Games: 0     Born: August 31, 1999    
","
Height: 195cm    
Weight: 94kg    
Position:
            Defender
      ","
Last Drafted: Round 4, Pick #63 ",,Ben Miller,"
Supercoach Price: $123,900
  "
