info1,info2,info_draft,info_team,name,sc_price
"
Age: 22yr 5mth    Games: 49     Born: September 8, 1996    
","
Height: 203cm    
Weight: 102kg    
Position:
            Forward
      ","
Last Drafted: Round 1, Pick #8 ",,Peter Wright,"
Supercoach Price: $306,400
  "
"
Age: 20yr 1mth    Games: 11     Born: January 24, 1999    
","
Height: 185cm    
Weight: 85kg    
Position:
            Midfield,
                Forward
      ","
Last Drafted: Round 3, Pick #45 ",,James Worpel,"
Supercoach Price: $395,700
  "
"
Age: 19yr 11mth    Games: 0     Born: March 16, 1999    
","
Height: 194cm    
Weight: 87kg    
Position:
            Forward
      ","
Last Drafted: Round 3, Pick #41 ",,Toby Wooller,"
Supercoach Price: $123,900
  "
"
Age: 18yr 11mth    Games: 0     Born: March 5, 2000    
","
Height: 179cm    
Weight: 72kg    
Position:
            Midfield,
                Forward
      ","
Last Drafted: Round 6, Pick #76 ",,Boyd Woodcock,"
Supercoach Price: $117,300
  "
"
Age: 25yr 5mth    Games: 39     Born: September 13, 1993    
","
Height: 192cm    
Weight: 87kg    
Position:
            Forward
      ","
Last Drafted: Round 2, Pick #41 ",,Mason Wood,"
Supercoach Price: $363,300
  "
"
Age: 29yr 5mth    Games: 137     Born: September 4, 1989    
","
Height: 187cm    
Weight: 86kg    
Position:
            Defender
      ","
Last Drafted: Round 3, Pick #43 ",,Easton Wood,"
Supercoach Price: $339,700
  "
"
Age: 26yr 5mth    Games: 80     Born: September 13, 1992    
","
Height: 209cm    
Weight: 111kg    
Position:
            Ruck
      ","
Last Drafted: Round 4, Pick #67 ",,Jarrod Witts,"
Supercoach Price: $480,900
  "
"
Age: 20yr 5mth    Games: 30     Born: September 10, 1998    
","
Height: 188cm    
Weight: 85kg    
Position:
            Defender
      ","
Last Drafted: Round 2, Pick #23 ",,Alex Witherden,"
Supercoach Price: $455,000
  "
"
Age: 25yr 7mth    Games: 147     Born: July 29, 1993    
","
Height: 183cm    
Weight: 85kg    
Position:
            Midfield,
                Forward
      ","
Last Drafted: Round 1, Pick #6 ",,Chad Wingard,"
Supercoach Price: $481,100
  "
"
Age: 24yr 4mth    Games: 129     Born: October 7, 1994    
","
Height: 190cm    
Weight: 99kg    
Position:
            Midfield
      ","
Last Drafted: Round 1, Pick #7 ",,Oliver Wines,"
Supercoach Price: $528,300
  "
"
Age: 24yr 2mth    Games: 1     Born: December 11, 1994    
","
Height: 188cm    
Weight: 89kg    
Position:
            Midfield
      ","
Last Drafted: Round 1, Pick #17 ",,Patrick Wilson,"
Supercoach Price: $147,700
  "
"
Age: 26yr 1mth    Games: 98     Born: January 7, 1993    
","
Height: 185cm    
Weight: 82kg    
Position:
            Defender
      ",,,Nathan Wilson,"
Supercoach Price: $435,300
  "
"
Age: 20yr 2mth    Games: 15     Born: December 12, 1998    
","
Height: 189cm    
Weight: 82kg    
Position:
            Defender
      ","
Last Drafted: Round 4, Pick #61 ",,Tom Williamson,"
Supercoach Price: $189,500
  "
"
Age: 25yr 9mth    Games: 6     Born: May 20, 1993    
","
Height: 192cm    
Weight: 89kg    
Position:
            Midfield
      ","
Last Drafted: Round 5, Pick #63 ",,Rupert Wills,"
Supercoach Price: $166,100
  "
"
Age: 24yr 5mth    Games: 78     Born: September 20, 1994    
","
Height: 185cm    
Weight: 84kg    
Position:
            Defender
      ","
Last Drafted: Round 8, Pick #95 ",,Zachary Williams,"
Supercoach Price: $407,800
  "
"
Age: 25yr 7mth    Games: 103     Born: July 22, 1993    
","
Height: 181cm    
Weight: 83kg    
Position:
            Defender
      ","
Last Drafted: Round 5, Pick #94 ",,Marley Williams,"
Supercoach Price: $340,500
  "
"
Age: 21yr 4mth    Games: 32     Born: October 10, 1997    
","
Height: 187cm    
Weight: 85kg    
Position:
            Defender
      ","
Last Drafted: Round 3, Pick #48 ",,Bailey Williams,"
Supercoach Price: $441,600
  "
